,Тип рынка,Функциональная зона,"Общая площадь,
кв.м","Жилая площадь,
кв.м","Площадь кухни,
кв.м",Год постройки,Тип дома,Класс,Этаж,Этажность,Тип этажа,Количество комнат,Парковка,Материал стен,"Цена предложения,
руб.","Удельная цена, руб./кв.м",Актуальность на дату послед. проверки,Колич.  Просмотр.,Колич.  Просм. в день,"Остановка
м","Парк
м","Центр
км","Станция метро
м","Школа
м","Детский сад
м",Месяц создания,Год создания,Месяц парсинга,Год парсинга,Месяц последней проверки,Год последней проверки
0,2,1,45.70000076293945,27.299999237060547,7.0,1975,2,2,8,9.0,2.0,2,0,2,4350000,95186,0,7,0.29,168,921,13,6065,148.0,161.0,9,2022,9,2022,9,2022
1,2,1,38.099998474121094,22.700000762939453,7.0,1974,2,2,4,9.0,2.0,2,1,2,4200000,110236,1,8,0.25,401,426,10,935,386.0,217.0,9,2022,9,2022,9,2022
2,2,1,53.400001525878906,25.0,14.0,2007,3,2,2,9.0,2.0,1,0,1,9350000,175094,1,7,0.29,215,406,2,1605,412.0,336.0,9,2022,9,2022,9,2022
3,2,1,56.0,33.20000076293945,8.600000381469727,1958,1,2,5,5.0,3.0,2,1,1,5200000,92857,1,9,0.22,161,974,9,165,306.0,47.0,9,2022,9,2022,9,2022
4,2,1,43.0,19.0,12.0,2009,3,2,1,17.0,1.0,1,1,1,4999990,116279,0,6,0.33,292,529,10,3011,550.0,238.0,9,2022,9,2022,9,2022
5,2,1,58.0,41.0,6.0,1977,1,2,3,5.0,2.0,4,1,2,5300000,91379,1,16,0.12,257,328,10,1537,446.0,104.0,9,2022,9,2022,9,2022
6,2,3,43.0,33.0,6.0,1965,1,2,4,5.0,2.0,2,0,1,6700000,155814,1,6,0.33,160,255,2,840,563.0,372.0,9,2022,9,2022,9,2022
7,2,1,31.0,18.0,6.5,1967,2,2,5,6.0,2.0,1,0,1,3290000,106129,0,4,0.5,318,319,10,3425,877.0,157.0,9,2022,9,2022,9,2022
8,2,1,19.0,13.0,3.0,1977,1,2,4,5.0,2.0,1,0,1,2550000,134211,0,10,0.1,96,267,7,1039,65.0,244.0,4,2022,5,2022,9,2022
9,2,2,36.79999923706055,17.799999237060547,10.100000381469727,1993,1,2,5,5.0,3.0,1,1,1,3300000,89674,1,10,0.1,385,369,19,5346,1098.0,210.0,4,2022,5,2022,9,2022
10,2,1,73.0,39.20000076293945,17.600000381469727,2009,3,2,11,19.0,2.0,2,1,1,11500000,157534,1,10,0.1,470,448,3,1075,270.0,542.0,3,2022,4,2022,9,2022
11,2,2,57.70000076293945,41.29999923706055,5.800000190734863,1967,1,2,1,5.0,1.0,3,0,1,5900000,102253,1,9,0.11,171,1676,10,4701,136.0,175.0,3,2022,4,2022,9,2022
12,2,2,32.900001525878906,18.0,8.0,1989,1,2,3,5.0,2.0,1,0,1,3200000,97264,0,22,0.05,296,353,18,5139,971.0,354.0,1,2022,2,2022,9,2022
13,2,1,45.0,33.0,6.0,1969,1,2,3,5.0,2.0,2,0,1,3890000,86444,0,21,0.05,205,233,12,1524,262.0,165.0,1,2022,2,2022,9,2022
14,2,2,32.900001525878906,18.0,8.0,1989,1,2,3,5.0,2.0,1,0,1,3200000,97264,0,8,0.38,296,353,18,5139,971.0,354.0,1,2022,4,2022,5,2022
15,2,4,250.0,104.0,45.0,1995,2,2,16,16.0,3.0,5,0,2,25000000,100000,1,11,0.09,189,664,6,5542,309.0,499.0,1,2022,2,2022,9,2022
16,2,1,43.599998474121094,27.600000381469727,7.099999904632568,1978,2,2,3,9.0,2.0,2,0,2,4500000,103211,1,9,0.11,568,1012,14,2285,233.0,210.0,1,2022,2,2022,9,2022
17,2,1,45.0,30.0,6.0,1967,1,2,4,5.0,2.0,2,0,1,3500000,77778,1,22,0.09,144,1274,9,4961,846.0,382.0,8,2022,2,2022,9,2022
18,2,6,32.099998474121094,17.100000381469727,5.099999904632568,1959,1,2,4,5.0,2.0,1,1,1,4550000,141745,1,7,0.29,69,267,13,473,262.0,502.0,8,2022,2,2022,9,2022
19,2,1,32.0,19.100000381469727,5.599999904632568,1991,1,2,5,5.0,3.0,1,0,2,4100000,128125,0,8,0.0,125,1057,4,3026,446.0,233.0,8,2022,8,2022,8,2022
20,2,1,44.0,18.200000762939453,9.899999618530273,2013,3,2,3,12.0,2.0,1,0,1,6580000,149545,1,24,0.04,181,122,5,236,103.0,263.0,8,2022,8,2022,9,2022
